大类,序号,施工细项,单位,警示,避坑
一、拆除新建,1,120mm轻体墙拆除,㎡,单价含切钢筋和找平吗？,遇墙内钢筋常被按根加收，拆完不修补。需备注：含割钢筋及拆除面水泥找平。
一、拆除新建,2,240mm红砖墙拆除,㎡,承重墙严禁拆除！,必须核实物业图纸，若为剪力墙/承重墙强拆会有违法甚至结构塌陷风险。
一、拆除新建,3,飘窗拆除,m,外挑飘窗含钢筋，严禁打拆！,打拆会破坏外墙防水导致内渗，需确认是否为假飘窗（内砌），真飘窗禁拆。
一、拆除新建,4,旧瓷砖/地砖拆除,㎡,只打瓷砖还是打到水泥层？,只打表层后期重铺层高受限。需备注：拆除至原建筑水泥地面。
一、拆除新建,5,旧木地板拆除,㎡,旧实木地板能卖钱，别白送！,实木地板有回收价值，建议自己找回收商抵扣拆除费。
一、拆除新建,6,原墙皮/腻子铲除,㎡,铲墙水极深！务必确认铲除深度！,前期报低价只铲表层，开工后加钱铲至红砖。需备注：铲至红砖/水泥层。
一、拆除新建,7,原内保温层铲除,㎡,泡沫保温层不铲，贴砖必掉！,开发商留的泡沫板不吃力，不铲除后期墙皮开裂。需明确是否含此项。
一、拆除新建,8,旧门窗拆除,樘/㎡,旧铝合金有残值，可抵扣费用！,提醒业主保留废品卖掉，或直接和施工队谈好抵扣拆除费。
一、拆除新建,9,旧卫浴/柜体拆除,项,拆完搬下楼要另收费吗？,需明确单价包含拆卸及搬运至小区楼下指定点，防按件二次收费。
一、拆除新建,10,旧吊顶拆除,㎡,含不含顶部膨胀螺丝切除？,旧龙骨拆除后天花板全是铁钉，不切除后期生锈发黄，需备注包含切除。
一、拆除新建,11,原地暖管拆除,㎡,拆地暖费用极高，是否单列？,地暖层极厚且硬，拆除人工费远超普通地面，需核对是否足额预估。
一、拆除新建,12,120mm红砖新建墙,㎡,单价是否包含双面抹灰？,光砌墙不抹灰无法进行后续找平，需备注：标准错缝满砌，含双面抹灰。
一、拆除新建,13,240mm红砖新建墙,㎡,楼板承重有限，物业允许吗？,高层住宅室内不建议砌240重墙，建议改用轻质砖或轻钢龙骨隔墙。
一、拆除新建,14,轻钢龙骨石膏板隔墙,㎡,隔音极差！必须加隔音棉！,内部空心说话听得清清楚楚，系统强制推荐关联项：内置隔音棉。
一、拆除新建,15,新旧墙交接处植筋,根/m,[致命漏项]不打孔植筋，墙体必裂！,新老墙交接必须每50cm打入钢筋+结构胶，漏报此项墙面后期必拉裂。
一、拆除新建,16,厨卫防水倒地梁,m,[致命漏项没地梁，隔壁必发霉！ **[避坑]**底部必须现浇15-20cm混凝土止水带，水才不会顺砖缝吸到隔壁墙面。,底部必须现浇15-20cm混凝土止水带，水才不会顺砖缝吸到隔壁墙面。
一、拆除新建,17,门洞预制过梁,根,门头不能用木板硬撑！,正上方必须使用钢筋混凝土过梁承重，否则门框必定受压变形关不上。
一、拆除新建,18,墙顶小砖斜砌,m,墙砌到顶必须留缝“斜砌”！,不能一次性砌到顶，需留缝7天等墙体沉降后，用小砖斜着塞紧收口防裂。
一、拆除新建,19,新建墙面双面抹灰,㎡,砌墙不包抹灰？后期必加钱！,强关联项，砌完墙必须水泥砂浆抹平，需核对单价是否已包含。
一、拆除新建,20,全屋/局部挂网格布,㎡,挂网是“局部”还是“全屋”？,新旧墙交接、线槽处必挂；老房建议全屋挂。需核实计价按延米还是平米。
一、拆除新建,21,钢丝网防裂处理,㎡,特殊墙面需用铁丝网！,比玻璃纤维网格布成本高，抗拉扯能力强，需明确材质和单价。
一、拆除新建,22,临时用水电费,项,开工前定好包干价，防后期扯皮！,施工期间的水电费谁出？临时水管电线谁买？需在前期合同中明确。
一、拆除新建,23,临时马桶安装,项,保护新马桶，工人需专用！,防工人弄脏或弄坏新洁具，通常100-200元包干安装简易蹲便器。
一、拆除新建,24,下水管道保护盖,个,下水管不封口，建渣掉入全堵死！,开工第一天必须用专用PVC盖把所有下水口封死，漏项必出大事故。
一、拆除新建,25,电梯/公共区保护,项,磕坏电梯物业罚款算谁的？,需明确使用PVC+珍珠棉全包裹电梯及过道，含在此项包干价中。
一、拆除新建,26,入户门成品保护,樘,门套必须包裹，防搬运磕碰！,使用专用加厚保护膜包裹入户门及门槛，开工即做，保洁前拆。
一、拆除新建,27,建筑垃圾装袋费,袋/项,装袋人工和袋子钱谁出？,建渣不能散堆，必须装入编织袋。需明确是否含编织袋物料及装袋人工。
一、拆除新建,28,垃圾搬运下楼费,项,无电梯房搬运费翻倍！,必须让用户选“有无电梯”，步梯房靠人力背，这笔费用极高需提前定死。
一、拆除新建,29,小区渣土清运费,项,这笔钱是交给物业的还是包工头的？,运至小区指定堆放点，有时物业还会另收一笔管理费，需明确界限。
一、拆除新建,30,垃圾外运（出小区）,车,外运车费极贵，一车大几百！,很多公司只管搬下楼，外运让业主自己掏钱叫渣土车，需明确外运单价。
一、拆除新建,31,承重墙碳纤维加固,㎡,动了承重墙？这是补救保命钱！,极少用，但若前期拆除失误被物业叫停，需请专业机构用碳纤维加固恢复。
二、隐蔽工程,1,1.5mm² 照明线回路,m,单价含不含线管和穿线人工？,单价须包干：阻燃PVC管、底盒、线、人工。预估全屋米数防绕线。
二、隐蔽工程,2,2.5mm² 插座线,m,极易“被绕线”，强烈建议点位包干！,工人多绕几十米看不出。建议改用按点位包干，或合同写死超出比例不付钱。
二、隐蔽工程,3,4.0mm² 大功率专线,m,大功率电器必须单独 4 平方专线！,和普通插座串联必烧线跳闸。需独立回路、独立漏保。
二、隐蔽工程,4,6.0mm² 中央空调线,m,外机线径不够，起火隐患！,中央空调外机或即热热水器必须用 6mm² 及以上线径。
二、隐蔽工程,5,10.0mm² 入户主线,m,[致命漏项]总线不换，屋里线再粗也跳闸！,老房主线老化且线径细，翻新必须更换10平方入户总线。
二、隐蔽工程,6,超六类网线(Cat6a),m,拒绝五类线！千兆网络必须超六类！,公司为省钱用淘汰五类线，以后网速跑不满。强硬要求大牌超六类线。
